country,rank,region,score_1,score_2,score_3,score_4,score_5,score_6,stars,total_score,university,year
United States,1,North America,100,100,100,99.1,100,91.9,,100,麻省理工学院,2022
United States,2,North America,100,100,100,98.1,99.7,63.6,,98.4,斯坦福大学,2022
United States,3,North America,100,100,98.6,99.1,85.2,69.9,,97.9,哈佛大学,2022
United States,4,North America,97,82.8,100,99.9,100,88.2,,97,加州理工大学（Caltech),2022
United Kingdom,5,Europe,100,100,100,81.3,99.4,98.3,,96.7,牛津大学,2022
Switzerland,6,Europe,98.7,96.6,80.8,96.4,100,97.9,,95,苏黎世联邦理工大学（瑞士联邦理工学院）,2022
United Kingdom,7,Europe,100,100,100,69.2,100,97.4,,94.3,剑桥大学,2022
United Kingdom,8,Europe,98.5,99.8,99.9,68.6,100,100,,93.6,帝国理工学院,2022
United States,9,North America,99.4,91.3,94.4,86.3,67.1,82.6,,93.1,芝加哥大学,2022
United Kingdom,10,Europe,99.4,98.3,98.4,65.4,99.3,100,,92.9,伦敦大学学院,2022
Singapore,11,Asia,99.7,98.4,90.7,72.9,100,71.4,,91.5,新加坡国立大学,2022
United States,12,North America,99.9,99,68.6,100,71.6,65.6,,91,普林斯顿大学,2022
Singapore,13,Asia,89.8,89.8,91.5,89,100,67.6,,89.9,南洋理工大学,2022
Switzerland,14,Europe,80.4,80,96.3,98.5,100,100,,89.6,洛桑联邦理工学院（EPFL),2022
China (Mainland),15,Asia,98.2,98.6,93.3,83.2,55.3,30.7,,89.2,清华大学,2022
United States,16,North America,96.1,91.5,100,63.8,88.7,65.3,,88.6,宾夕法尼亚大学,2022
United States,16,North America,98.5,90.9,63.7,88.6,93.7,70,,87.6,康奈尔大学,2022
United States,18,North America,99.9,100,100,52.8,85.3,54.5,,88,耶鲁大学,2022
United States,19,North America,99.7,97.3,100,48.5,37.2,96.3,,86.5,哥伦比亚大学,2022
United Kingdom,20,Europe,98,95.4,83.1,50.2,98.2,99,,85.8,爱丁堡大学,2022
United States,21,North America,98.9,92.7,89.4,58,74.8,41.3,,84.6,密歇根大学,2022
Hong Kong SAR,22,Asia,98.1,76.3,83.8,48,100,98.9,,83.7,香港大学（HKU）,2022
China (Mainland),23,Asia,99.2,99.1,76.4,64.9,69.7,34.3,,83.5,北京大学,2022
Japan,24,Asia,100,99.6,92.3,62.5,10.7,26.1,,83.2,东京大学,2022
United States,25,North America,86.7,47,100,75.9,66.3,87.7,,82.7,约翰霍普金斯大学,2022
Canada,26,North America,99.3,96.8,70.3,45.8,97.9,94.1,,82.7,多伦多大学,2022
Hong Kong SAR,27,Asia,85.2,63.6,66.7,92.1,100,88.9,,82.1,香港科技大学（HKUST),2022
United Kingdom,28,Europe,95.3,97.4,72.7,48.4,92.9,98.8,,82.1,曼彻斯特大学,2022
United States,30,North America,85.1,74.4,99.7,72.3,57.9,45.3,,81.5,西北大学,2022
United States,30,North America,100,99.9,21.3,96.9,94.9,39.7,,80.8,加州大学伯克利分校,2022
Australia,31,Oceania,95.6,77.6,40.1,77.8,100,99.6,,80,澳大利亚国立大学（ANU),2022
United Kingdom,32,Europe,88.9,81.1,83.1,46.4,98.4,99.9,,80,伦敦国王学院,2022
Canada,33,North America,92.3,94.1,67.5,51.8,90.5,96.3,,80,麦吉尔大学,2022
China (Mainland),34,Asia,84.7,92.5,90.9,55.7,93.1,46.3,,79.9,复旦大学,2022
United States,35,North America,95.8,96.5,96.7,25.8,37.3,93,,79.4,纽约大学（NYU）,2022
United States,36,North America,100,99.7,42,81.9,47.3,32.6,,79.2,加州大学洛杉矶分校,2022
South Korea,37,Asia,97.9,95.9,87.9,53.7,18.6,11.6,,79,首尔国立大学,2022
Japan,38,Asia,98.6,96.9,95,42.6,16,19.8,,78.9,京都大学,2022
South Korea,39,Asia,86.8,82.2,70,97.4,24.7,9.7,,78.6,韩国科学技术研究所,2022
Australia,40,Oceania,97.4,95.3,21.4,69.6,100,100,,77.1,悉尼大学,2022
Australia,41,Oceania,99.1,97.3,18.8,65.4,97.4,100,,76.5,墨尔本大学,2022
United States,42,North America,88.2,85.3,100,44.7,5.9,58,,76.4,杜克大学,2022
Hong Kong SAR,43,Asia,90.3,53.1,59.2,62.6,100,91.5,,75.8,香港中文大学,2022
Australia,44,Oceania,91.1,94.9,16.7,78.4,100,99.2,,75.4,新南威尔士大学（UNSW）,2022
Canada,45,North America,97.1,89.6,53.1,37.4,89.5,78.8,,74.8,不列颠哥伦比亚大学,2022
Australia,46,Oceania,89,78.2,23.8,79.6,100,99.9,,74.5,昆士兰大学（UQ）,2022
China (Mainland),47,Asia,82.5,90.9,60.4,75.4,64,30.2,,74.4,上海交通大学,2022
Hong Kong SAR,48,Asia,61.5,32.8,88.9,91.2,100,99,6,74.3,香港城市大学,2022
United Kingdom,49,Europe,75.8,99.6,41.9,74,100,100,,73.9,伦敦经济政治学院,2022
Germany,50,Europe,83.8,98.5,89.7,22.4,63.4,84.7,,73.6,慕尼黑工业大学,2022
United States,51,North America,73.3,72.4,51,89.8,65.3,99.4,,73.4,卡内基梅隆大学,2022
France,52,Europe,75.5,97.5,100,31.6,64.5,68.4,,73.3, 巴黎科学艺术人文大学,2022
China (Mainland),53,Asia,69.3,91.1,90,40,98.1,74.2,,71.9,浙江大学,2022
United States,54,North America,91.9,50.4,61.3,52.7,59.9,64.3,,71.2,加州大学圣地亚哥分校,2022
Australia,55,Oceania,90,88.7,14.1,64.2,100,100,,70.9,蒙纳士大学,2022
Japan,56,Asia,73.3,90.4,83.4,62.6,27.6,28,,70.8,东京工业大学,2022
Netherlands,57,Europe,70.7,87.9,43.9,75.8,99.8,85.6,,70.7,代尔夫特理工大学,2022
United Kingdom,58,Europe,75.5,82.9,70.8,44.8,91.5,80.6,,70.6,布里斯托大学,2022
Malaysia,59,Asia,74.1,84.6,82.1,47.7,68.7,44.5,5,70.1,马来亚大学（UM）,2022
United States,60,North America,60.2,58.1,82,82.3,82.9,53.4,,70,布朗大学,2022
Netherlands,61,Europe,82.3,55.6,35.4,83.3,84.5,61.6,,69.9,阿姆斯特丹大学,2022
France,61,Europe,41.8,98.7,99.8,65.8,95.8,99,,69.9,巴黎综合理工大学,2022
United Kingdom,62,Europe,74.3,92,47.8,51.4,98.1,99.2,,69,华威大学,2022
Germany,63,Europe,92.9,80.7,49.1,43.9,57.6,36.2,,68.9,路德维希 - 马克西米利安 - 慕尼黑大学,2022
Germany,64,Europe,80.6,41.8,99.1,34.2,52.3,49.5,,68.6,鲁普莱希特-卡尔斯-海德堡大学,2022
United States,65,North America,85.6,49.5,72.7,54.9,34.7,27.6,,68.2,威斯康星大学麦迪逊分校,2022
Taiwan,66,Asia,91.8,87.5,38.7,54.8,19.1,38.7,,67.5,台湾大学,2022
Argentina,67,Latin America,88.3,90.8,77.9,2.5,60.4,71.8,,67.5,布宜诺斯艾利斯大学,2022
South Korea,69,Asia,75.2,91.7,84.9,35.4,15,53.3,,67.1,高丽大学,2022
Switzerland,70,Europe,59.7,60.6,98,45.9,100,59.8,,67.1,苏黎世大学,2022
United States,71,North America,94,83.4,12.4,84,6.5,16.2,,66.7,德克萨斯大学奥斯汀分校,2022
Japan,72,Asia,80.1,79.6,78.9,41.3,20.3,14,,66.1,大阪大学,2022
United States,73,North America,85.9,49,13.7,98.8,39.7,39.5,,66.1,华盛顿大学,2022
Russia,74,Europe,77.3,82.8,99.8,7.4,20.1,76.8,,65.9,罗蒙诺索夫莫斯科国立大学,2022
Hong Kong SAR,75,Asia,66.3,40.8,78,51,100,80.2,,65.8,香港理工大学,2022
Denmark,76,Europe,72.8,38.7,100,31.2,91.8,26.5,,65.5,哥本哈根大学,2022
South Korea,77,Asia,43,54.6,99.9,98.7,33.8,3,,64.6,浦项科技大学,2022
United Kingdom,78,Europe,73,66.8,60.4,33.5,93.8,97.1,6,64.6,格拉斯哥大学,2022
Japan,79,Asia,69.3,72.4,98.1,39.6,11.8,16.9,,64.3,东北大学,2022
United States,80,North America,68.8,76.4,9.2,99.9,71,64.8,,64.1,乔治亚理工学院(Georgia Tech),2022
New Zealand,81,Oceania,84.9,55.9,25.4,47,97.6,94.5,,64,奥克兰大学,2022
United States,82,North America,87.4,52.1,10.8,83.7,18.8,60.4,,63.4,伊利诺伊大学香槟分校,2022
France,83,Europe,90.1,47.4,38.9,49.3,34,57.1,,63.3,索邦大学,2022
Belgium,84,Europe,83.4,55.5,9.4,77.5,90.7,36.1,,63,鲁汶大学,2022
United Kingdom,85,Europe,58,90.2,33.1,68.3,97.9,88.7,,62.2,杜伦大学,2022
South Korea,86,Asia,68.3,87.7,85.1,31,12.1,45.3,,62.5,延世大学,2022
United Kingdom,87,Europe,64.4,72.6,52.5,45.4,93.4,87.9,,62,伯明翰大学,2022
South Korea,88,Asia,60.2,75.6,84.9,47.7,20.1,39.3,,61.5,成均馆大学,2022
United States,89,North America,39.6,25.3,80.8,87.5,88.8,92,,61.4,赖斯大学,2022
United Kingdom,90,Europe,50.9,52.9,66.8,61.7,97.6,93.5,,61.3,南安普敦大学,2022
United Kingdom,91,Europe,70.6,78.1,46,36.7,84.7,81.3,,61.2,利兹大学,2022
Australia,92,Oceania,61.1,52.7,19,85.7,100,99.6,,61,西澳大学（UWA）,2022
United Kingdom,93,Europe,61.4,58.6,62.2,42.8,85.3,96,,60.8,谢菲尔德大学,2022
China (Mainland),94,Asia,53.9,19.9,77.7,99.2,24.1,6.1,,60.8,中国科学技术大学,2022
United States,95,North America,68.1,49.7,84.4,44.8,32.6,10.5,,60.6,北卡罗来纳大学教堂山,2022
United Kingdom,96,Europe,46,61.1,67.6,60.2,98.4,99.8,,60.3,圣安德鲁斯大学,2022
Sweden,97,Europe,70,50.9,53.6,39.9,92.3,69,,60.2,隆德大学,2022
Sweden,98,Europe,46.2,63.6,64.8,68,98.3,57.4,,59.5,皇家理工学院,2022
United Kingdom,99,Europe,60,71.6,47.7,46.4,90.8,83.5,,59,诺丁汉大学,2022
Mexico,100,Latin America,93.3,90.9,52.9,4,9.9,3.6,,58.8,墨西哥国立自治大学,2022
United States,101,North America,74.9,75.3,30.9,59.7,15.9,36.9,,58.4,宾夕法尼亚州立大学,2022
Ireland,102,Europe,66.6,49.7,32.4,51.3,99.6,93.7,,58.4,都柏林三一学院,2022
Denmark,103,Europe,31.3,30.7,99.9,66,99.9,78.6,,57.9,丹麦技术大学,2022
Finland,104,Europe,65.3,45.9,67.5,48.4,61.4,5.7,,57.6,赫尔辛基大学,2022
United States,105,North America,43.3,15.5,99.8,53.3,80,61.8,,56.9,华盛顿大学在圣路易斯,2022
Australia,106,Oceania,55.5,37,25.5,77.8,99.8,99.1,,56.8,阿德莱德大学,2022
Switzerland,107,Europe,50.9,23.4,48.5,71.2,100,97.4,,56.8,日内瓦大学,2022
United States,108,North America,63.5,63.2,57.6,37.8,81.3,23.5,,56.4,俄亥俄州立大学,2022
United States,109,North America,63.6,69.4,19.2,62.7,83.9,51.4,,55.9,普渡大学,2022
United States,110,North America,62,53.4,42.4,54.3,30.9,88,,55.8,波士顿大学,2022
Japan,111,Asia,58.7,52.3,90,35,14.8,20.4,,55.8,名古屋大学,2022
United States,112,North America,68.7,33.9,28.7,56.1,75.1,68.4,,55.3,加州大学戴维斯分校,2022
Norway,113,Europe,54.5,15.7,82.1,46.8,88.3,26.7,,55.2,奥斯陆大学,2022
Switzerland,114,Europe,30.2,38.7,70.9,86.7,100,42.7,,54.9,伯尔尼大学,2022
United Kingdom,114,Europe,52.6,40.9,58.4,40.4,99.7,99,,55.1,伦敦大学皇后玛丽学院（QMUL）,2022
Brazil,115,Latin America,88.6,67.4,20.5,38.1,8.2,3.1,,54.8,圣保罗大学,2022
Netherlands,116,Europe,40,22.2,96.9,53.1,45.5,79.8,,54.8,瓦赫宁根大学,2022
Germany,117,Europe,89.8,57.5,10,32.2,50,31.1,,54.5,柏林洪堡大学,2022
Canada,118,North America,55.1,53.6,66.8,30.1,88.8,59.7,,54.3,蒙特利尔大学,2022
Canada,119,North America,54.6,37.7,50.5,47.2,91.2,79.9,,54,阿尔伯塔大学,2022
Netherlands,120,Europe,30.4,78.1,55.2,76.6,99.7,44.9,,53.9,埃因霍芬理工大学,2022
Chile,121,Latin America,87.7,96.4,24.2,14.1,18.6,3.9,,53.8,智利天主教大学,2022
United States,122,North America,58.1,55.1,34.1,60.5,32,84.3,,53.8,南加州大学,2022
Netherlands,123,Europe,66,34,38.9,58.3,59.9,25,,53.8,乌得勒支大学,2022
Japan,124,Asia,54.6,62.5,86.7,31.2,14.4,20.4,,53.7,九州大学,2022
China (Mainland),125,Asia,59.7,23.4,28,87.6,71.4,9.5,,53.7,南京大学,2022
Sweden,126,Europe,66.3,27.7,42.8,52.5,66.3,35.3,,53.7,乌普萨拉大学,2022
Finland,127,Europe,43.4,43,53.6,72.5,93.2,35.4,,53.6,阿尔托大学,2022
Netherlands,128,Europe,69.2,32.2,25.8,52.6,82.2,48.1,,53.4,莱顿大学,2022
Netherlands,129,Europe,50.6,28.1,62.6,43.2,92,86.5,,53.4,格罗宁根大学,2022
Germany,130,Europe,80.9,48.4,4.2,46.7,63.6,46.6,,53.2,柏林自由大学,2022
Germany,131,Europe,46.2,85,27.4,70.3,60.1,60.5,,52.9,卡尔斯鲁厄理工学院,2022
Malaysia,132,Asia,50.5,52.8,76.1,22.3,58.1,86.5,5,52.7,马来西亚博特拉大学（UPM）,2022
Australia,134,Oceania,45.3,78.8,8.8,74.4,98.1,94.9,6,52.6,悉尼科技大学（UTS）,2022
United Kingdom,135,Europe,40.6,31,45.6,71.3,93.7,95.4,,52.5,兰卡斯特大学,2022
Belgium,136,Europe,53.7,23.5,83,37.1,68.4,19.1,,52.5,根特大学,2022
Italy,137,Europe,67,82.6,5.3,55.9,46.4,49.6,,52.4,米兰理工大学,2022
France,138,Europe,15.6,99.9,89.1,51.9,65.6,86.1,,52.3,巴黎中央理工学院,2022
Sweden,139,Europe,28.3,58.6,68.2,65.6,98.8,60.3,,52.2,查尔姆斯理工大学,2022
Japan,140,Asia,54,60,80,32.7,16.9,16.2,,52.2,北海道大学,2022
Malaysia,141,Asia,53.8,55.7,93.3,11.9,31.2,40.8,5,52,马来西亚国民大学（UKM）,2022
Malaysia,142,Asia,56,60.5,76.2,16.6,37.6,49.9,,51.9,马来西亚理科大学（USM）,2022
Saudi Arabia,143,Asia,36.3,52.4,69,50.2,99,57,,51.7,阿卜杜勒·阿齐兹国王大学（KAU）,2022
Canada,144,North America,40.7,47.6,81.4,32.4,99.3,48.1,,51.5,麦克马斯特大学,2022
Germany,145,Europe,51.9,95.8,7.4,68.1,43.7,70.3,,51.4,亚琛工业大学,2022
South Korea,146,Asia,46.5,78.3,77.1,31.9,23.1,31.9,,51.3,汉阳大学,2022
Denmark,147,Europe,54.6,40.9,32.6,65.6,84.9,16,,51,奥胡斯大学,2022
Germany,148,Europe,54.1,75,50.3,28.2,38.2,74.4,,50.8,柏林工业大学,2022
Switzerland,149,Europe,28.4,28.5,45.3,88.3,100,87.1,,50.6,巴塞尔大学,2022
Austria,150,Europe,69.2,42.7,24.3,18.7,98.1,90.3,,50.3,维也纳大学,2022
United Kingdom,151,Europe,42.6,41.4,58.4,45.7,89.5,69.9,,50.3,约克大学,2022
United Kingdom,152,Europe,43.7,76.8,39.6,41.8,87.6,81.2,6,50.2,纽卡斯尔大学,2022
United States,153,North America,60,19.3,11.4,87.1,55.3,30.4,,50.2,加州大学圣芭芭拉分校,2022
United States,154,North America,53.1,31.5,49.9,65,27.5,22.5,,50.2,马里兰大学，学院公园,2022
Mexico,155,Latin America,41.7,88.3,87.3,5.2,96.7,16.1,6,49.9,蒙特雷科技大学,2022
United States,156,North America,43.9,19.6,96.7,45.6,8.6,19.4,,49.7,匹兹堡大学,2022
United States,157,North America,61.5,65.6,15.4,52.9,62,26.9,,49.6,密歇根州立大学,2022
United States,158,North America,25.8,14.5,98.5,63.9,50.1,41.1,,49.1,埃默里大学,2022
United Kingdom,159,Europe,47.4,39.4,48,38.9,81.7,77,,48.5,卡迪夫大学,2022
Italy,160,Europe,79.6,46.4,4.7,46.3,12.1,11.9,,48.2,博洛尼亚大学,2022
France,161,Europe,33.3,10.1,94.6,54.7,53.7,18.9,,48.1,里昂高等师范学院,2022
United States,162,North America,19.7,18.7,86.5,67.8,55.3,74.5,,47.4,凯斯西储大学,2022
United States,163,North America,49.7,51.9,75.3,26.8,20.6,12.9,,47.4,佛罗里达大学,2022
United Kingdom,164,Europe,39.7,60.3,42.6,40.2,90.6,79.4,5,47.2,埃克塞特大学,2022
Kazakhstan,165,Asia,42,63.1,98.2,1.4,42,30.7,5,46.9,哈拉克国立大学,2022
United States,165,North America,25.5,11.3,99.9,37.4,63.5,92.9,,46.9,罗切斯特大学,2022
Canada,167,North America,39.6,77.5,7.9,67,76.4,83.4,,46.8,滑铁卢大学,2022
Taiwan,168,Asia,49.5,58.1,34.8,58.3,19.4,18,,46.4,国立清华大学,2022
United States,169,North America,60.7,59.9,8.1,59.2,25.2,19.1,,46.2,德州农工大学,2022
Switzerland,170,Europe,35.1,21.5,56.7,51.7,99.5,62,,46.2,洛桑大学,2022
Italy,171,Europe,78.4,33.8,5.1,46.3,4.8,10.5,,46.1,萨皮恩扎 - 罗马大学,2022
India,172,Asia,50.4,74.2,36.2,53.1,3.9,1.6,,46,印度理工学院孟买分校,2022
Germany,173,Europe,37.6,61.1,83.7,21.5,35.7,34.1,,45.9,德累斯顿工业大学,2022
United Kingdom,174,Europe,36.1,67.7,24.8,50,98.1,90.4,,45.9,巴斯大学,2022
Germany,175,Europe,45.6,22.6,89.5,16.8,45.8,26,,45.8,蒂宾根大学,2022
Germany,176,Europe,52,18.7,35.7,51.8,62.4,43.9,,45.8,弗莱堡大学,2022
Israel,177,Asia,37.4,30.5,79.8,39.2,65.4,9.9,,45.7,希伯来大学,2022
Ireland,178,Europe,49.2,41.6,28.8,39,97.6,63.2,,45.7,都柏林大学,2022
United States,179,North America,64.3,26.2,31.9,48.1,7.1,15,,45.7,明尼苏达大学,2022
Chile,180,Latin America,73.9,91.2,13.8,15,9.5,7.4,,45.6,智利大学,2022
Sweden,181,Europe,55.1,15.6,30,46.9,87.5,41.5,,45.5,斯德哥尔摩大学,2022
United Kingdom,182,Europe,42.9,31,48.6,30.9,86.7,93.8,,45.5,利物浦大学,2022
Spain,183,Europe,70.2,38.1,20.9,35.5,6.6,32.1,,45.4,巴塞罗那大学,2022
New Zealand,184,Oceania,53,36.5,16.6,43.5,100,59,6,45.3,奥塔哥大学,2022
India,185,Asia,31.8,18.3,49.8,100,1.4,1.6,,44.9,印度科学研究所班加罗尔,2022
Saudi Arabia,186,Asia,27.7,21.1,80.7,46.1,100,18.1,,44.7,法赫德法国石油和矿物大学（KFUPM）,2022
Malaysia,187,Asia,39.4,51.6,64.4,27.8,27.6,63.9,5,44.2,马来西亚工艺大学（UTM）,2022
United States,188,North America,26.9,24.7,100,39.7,23.5,31.5,,44.2,范德比尔特大学,2022
Belgium,189,Europe,50.2,37.2,7.6,60.9,87.2,39.9,,44.1,法语天主教鲁汶大学,2022
Japan,190,Asia,58.6,93.6,30.6,7.6,31,36.7,,44.1,早稻田大学,2022
Japan,191,Asia,49.5,87,60.8,9.6,12.2,11.7,,44,庆应义塾大学,2022
Austria,192,Europe,32.3,52.7,10.2,77.5,75.2,86,,44,维也纳技术大学,2022
India,193,Asia,44.3,64.5,28.4,67.8,2.3,1.5,,43.9,印度理工学院德里分校,2022
Norway,194,Europe,33.6,8.2,77.9,42.4,87.3,8.8,,43.4,卑尔根大学,2022
Germany,195,Europe,49,16.9,65.5,24.3,49.9,25,,43.3,乔治奥古斯特哥廷根大学,2022
Australia,196,Oceania,31.3,34.5,19.2,71,91.8,86,6,43.2,伍伦贡大学,2022
Netherlands,197,Europe,34,63.7,32.4,46.7,82.2,59,,43.1,鹿特丹伊拉斯谟大学,2022
Australia,198,Oceania,33.5,27.9,32.4,64.7,99.9,44.6,,43.1,纽卡斯尔大学,2022
Netherlands,199,Europe,20.8,40.4,36.8,69.8,96.1,86.5,,43.1,特温特大学,2022
Spain,200,Europe,57.1,55.4,42.3,23.3,8.8,12,,42.8,马德里自治大学,2022
Belgium,201,Europe,24.7,18.9,87.3,30.1,88.2,62.1,,42.8,布鲁塞尔大学,2022
Sweden,202,Europe,38.3,15.7,69.2,31.4,65.5,42.7,,42.7,哥德堡大学,2022
United States,203,North America,19.4,30.5,69.5,79.3,5.5,32.7,,42.6,达特茅斯学院,2022
Canada,204,North America,30.8,63.7,7.4,76.1,95.6,51,6,42.6,韦仕敦大学（西安大略大学）,2022
United Kingdom,205,Europe,33.4,34.3,28.6,53,93.2,86.4,,42.3,雷丁大学,2022
Spain,206,Europe,66.4,63.5,23.3,14.2,3.2,21.3,,41.9,马德里康普顿斯大学（UCM）,2022
United Kingdom,207,Europe,28.7,23.6,32.8,57.4,94.8,99,,41.8,阿伯丁大学,2022
Thailand,208,Asia,67.1,60.7,30.1,9,14.6,2.6,,41.6,朱拉隆功大学,2022
United Kingdom,209,Europe,30,33,46.3,36.6,99.8,96.5,,41.5,贝尔法斯特女王大学,2022
United States,210,North America,44.2,14.4,10.7,68.7,46.6,75.7,,41.4,加州大学欧文分校,2022
United Arab Emirates,211,Asia,11.9,10.2,86.4,52.6,100,48.1,5,41.2,哈利法大学,2022
United States,212,North America,30.2,47.5,68.2,42.3,30.3,19.8,,41.2,圣母大学,2022
Spain,213,Europe,59.9,33.9,15.2,39.9,22.2,23.1,,40.9,巴塞罗那自治大学,2022
Australia,214,Oceania,31.6,49.6,21.8,44.5,97.2,97.5,,40.8,麦考瑞大学,2022
Netherlands,215,Europe,31.8,16.7,40.2,70.2,59,23.2,,40.8,雷德布德大学奈梅亨,2022
Italy,216,Europe,59.4,35.6,11.1,49.9,10.9,5.9,,40.6,帕多瓦大学（UNIPD）,2022
Australia,217,Oceania,32.4,43.4,16.8,60.6,100,50.2,6,40.5,科廷大学,2022
Australia,218,Oceania,43.2,45.6,8.7,48.5,97.8,41.8,,40.5,昆士兰科技大学（QUT）,2022
United States,219,North America,37.2,42.4,61.4,38.5,8.1,14.3,,40.5,弗吉尼亚大学,2022
Lebanon,220,Asia,27.7,64,59.7,16.5,84.4,64.6,,40.4,贝鲁特美国大学（AUB）,2022
United States,221,North America,43.4,33.4,11.1,57.6,67.5,46.3,,40.4,亚利桑那州立大学,2022
South Africa,222,Africa,45.1,39.7,25.3,39.6,67.1,35.8,,40.4,开普敦大学,2022
Australia,223,Oceania,37.6,60.2,9.8,35,100,94.3,,40,皇家墨尔本理工大学,2022
New Zealand,224,Oceania,48.4,31.8,12.3,35.2,99.6,54.3,6,40,惠灵顿维多利亚大学,2022
Russia,225,Europe,41.2,30.2,83.3,7.2,5.9,36.8,,39.9,圣彼得堡国立大学,2022
United Kingdom,226,Europe,30.9,66.1,30.3,34.1,83.8,72.2,6,39.7,拉夫堡大学,2022
Colombia,227,Latin America,55.3,94,23.8,7.6,28.4,2.5,5,39.6,洛斯安第斯哥伦比亚大学,2022
Russia,228,Europe,28.8,21.3,94.7,18.9,9,47.2,,39.4,新西伯利亚州立大学,2022
Germany,229,Europe,48.7,16.7,26.1,46.4,45,22.9,,39.4,汉堡大学,2022
United States,230,North America,33.5,47.7,63.2,25.8,15.1,47.2,,39.3,乔治城大学,2022
Israel,231,Asia,34.3,30.9,6.2,94.9,33.2,9.3,,39.3,特拉维夫大学,2022
United States,232,North America,36.9,16.6,44.5,59.7,24.1,11,,39.3,科罗拉多大学博尔德分校,2022
Brazil,233,Latin America,62.3,30.6,16.5,35.6,8.8,3.7,,39.2,金边大学,2022
Netherlands,234,Europe,21.8,30.5,20,65,97.1,100,,38.9,马斯特里赫特大学,2022
Taiwan,235,Asia,41,60.9,35.8,35,16,23,,38.9,国立成功大学,2022
South Korea,236,Asia,25.4,37.8,88.3,18.6,16.2,47.9,,38.8,庆熙大学,2022
Netherlands,237,Europe,41.7,18.3,43.1,41.9,37,23.6,,38.8,阿姆斯特丹自由大学,2022
Ireland,238,Europe,24.2,27.4,75.3,15.2,91.8,58.8,,38.3,爱尔兰国立高威大学,2022
Belgium,239,Europe,22.5,13.2,73.1,36.4,77.5,39.1,,38.3,安特卫普大学,2022
Taiwan,240,Asia,30.7,64.9,40.7,44.5,30,21.4,,38.2,国立交通大学,2022
Germany,241,Europe,50.6,13.8,43.5,21.3,43.8,23.6,,38.2,波恩大学,2022
France,242,Europe,8.8,49.9,93.1,20.7,31.8,99.6,,38.1,国立路桥学校,2022
France,243,Europe,21,30.2,89.1,6,52,99.2,,38.1,巴黎政治学院,2022
United Kingdom,244,Europe,24.8,16.3,45.6,43.3,82.7,85.4,,38.1,莱斯特大学,2022
Qatar,245,Asia,19.3,23.3,69.7,19.4,100,95.4,,37.9,卡塔尔大学,2022
Canada,246,North America,36.5,68.8,7.5,48.2,71,28.8,,37.8,女王大学,2022
Canada,247,North America,33,36.6,27.2,41.2,82.9,57.1,,37.8,卡尔加里大学,2022
United Kingdom,248,Europe,28,10.2,20.2,58.7,96.4,95.1,,37.8,苏塞克斯大学,2022
China (Mainland),249,Asia,38.2,53.7,16.8,53.4,48.6,8.5,,37.8,武汉大学,2022
Russia,250,Europe,21.7,15.1,99.9,6.1,30.1,93.4,,37.7,托木斯克州立大学,2022
Belgium,251,Europe,33,50,6.8,45.8,87.2,88.7,,37.7,布鲁塞尔自由大学,2022
Thailand,252,Asia,41.7,44.4,69.6,7.8,8.6,5.6,5,37.5,玛希隆大学,2022
Spain,253,Europe,28.8,67.8,51.3,20.4,25,68.5,,37.5,纳瓦拉大学,2022
Indonesia,254,Asia,44.9,43.2,59.9,1.7,48.7,2.2,,37.4,加札马达大学,2022
Brunei,255,Asia,18.3,10.5,95.4,7.9,100,63.9,,37.4,文莱达鲁萨兰国大学,2022
China (Mainland),256,Asia,34.4,8.5,22.4,60.6,88,28.4,,37.2,同济大学,2022
United States,257,North America,44.7,30.3,40.4,32.8,10.3,21.1,,37.2,伊利诺伊大学芝加哥分校,2022
United States,258,North America,38.9,35.5,55.1,16.3,24.6,42.3,,37,罗格斯大学 - 新泽西州立大学新不伦瑞克分校,2022
Colombia,259,Latin America,60.8,93.2,7,5.6,8.2,1.3,5,36.9,哥伦比亚国立大学,2022
Czech Republic,260,Europe,43.4,37.6,48.4,11.8,19,46.9,,36.7,布拉格查理大学,2022
China (Mainland),261,Asia,22.4,8.4,49.3,79.8,9.6,8.7,,36.7,哈尔滨工业大学,2022
United States,262,North America,20.2,7.8,75.7,45.3,32.8,36,,36.7,塔夫茨大学,2022
Hong Kong SAR,264,Asia,18.2,12.7,39.3,49.9,98.2,95.6,,36.3,香港浸会大学,2022
Austria,265,Europe,20.6,13.8,66.1,15.8,99.3,99.5,,36.2,因斯布鲁克大学,2022
Japan,266,Asia,34.6,16.6,68.9,22.5,15.5,27.3,,36.2,筑波大学,2022
Taiwan,267,Asia,24.8,28,58.5,40.7,23.2,40.8,,36,台湾科技大学,2022
Germany,268,Europe,20.3,62.2,5.9,70.6,53.4,68.7,,36,达姆施塔特技术大学,2022
United Kingdom,269,Europe,23.4,31.6,22.4,45.8,97.1,95.4,,36,萨里大学,2022
New Zealand,270,Oceania,35.6,37.4,10.7,38,99.6,60.2,5,35.9,坎特伯雷大学,2022
United States,271,North America,41.2,16.1,16.4,56.2,35.2,25.6,,35.9,马萨诸塞大学，阿默斯特,2022
New Zealand,272,Oceania,30.3,24.5,30.3,28.8,98.7,97.6,6,35.8,梅西大学,2022
Switzerland,273,Europe,4.7,5.2,86.1,30.1,100,100,,35.6,提契诺大学,2022
United States,274,North America,41.3,18.5,52,23.2,24.6,15.6,,35.6,亚利桑那大学,2022
